,r,length_of_url,http_has,suspicious_char,prefix_suffix,dots,slash,phis_term,sub_domain,ip_contain
595,yes,1,1,1,0,0,0,0,0,0
596,yes,1,1,1,0,0,0,0,0,0
597,yes,0,1,1,0,1,0,0,0,0
598,yes,1,1,1,0,0,0,0,0,0
599,yes,0,1,1,0,1,1,0,0,0
600,yes,1,1,1,0,1,0,0,1,0
601,yes,0,1,1,0,1,1,0,1,0
602,yes,0,1,1,0,1,1,0,1,0
603,yes,1,1,1,0,0,0,0,1,0
604,yes,1,1,1,0,0,0,0,0,0
605,yes,0,1,1,1,1,1,0,0,0
606,yes,1,1,1,1,1,0,0,0,0
607,yes,1,1,1,1,1,0,0,0,0
608,yes,0,1,1,0,1,1,0,1,0
609,yes,0,1,1,1,1,1,0,1,0
610,yes,1,1,1,1,1,1,1,1,0
611,yes,1,1,1,0,0,1,0,0,0
612,yes,0,1,1,0,1,1,0,0,0
613,yes,1,1,1,1,1,1,1,0,0
614,yes,1,1,1,0,1,1,1,0,0
615,yes,0,1,1,0,1,1,0,0,0
616,yes,1,1,1,0,1,0,1,0,0
617,yes,0,1,1,0,1,0,0,1,0
618,yes,0,1,1,0,1,1,0,0,0
619,yes,1,1,1,0,1,0,0,0,0
620,yes,0,1,1,0,1,1,0,0,0
621,yes,1,1,1,0,1,0,0,0,0
622,yes,1,1,1,0,0,1,0,0,0
623,yes,0,1,1,0,1,1,0,1,0
624,yes,0,1,1,0,1,1,0,0,0
625,yes,1,1,1,1,1,0,1,0,0
626,yes,1,1,1,1,1,0,1,1,0
627,yes,0,1,1,0,1,1,0,0,0
628,yes,0,1,1,1,1,1,1,0,0
629,yes,0,1,1,0,1,0,1,0,0
630,yes,1,1,1,0,1,0,0,0,0
631,yes,0,1,1,0,1,1,0,1,0
632,yes,0,1,1,0,1,1,1,0,0
633,yes,1,1,1,1,1,1,1,0,0
634,yes,0,1,1,0,1,1,0,1,0
635,yes,1,1,1,1,1,1,1,0,0
636,yes,1,1,1,1,1,0,1,0,0
637,yes,1,1,1,0,1,0,1,1,0
638,yes,0,1,1,0,1,1,0,1,0
639,yes,0,1,1,0,1,1,0,1,0
640,yes,1,1,1,1,1,1,1,0,0
641,yes,0,1,1,0,1,1,1,0,0
642,yes,0,1,1,0,1,1,0,0,0
643,yes,0,1,1,0,1,1,0,1,0
644,yes,1,1,1,1,1,1,0,0,0
645,yes,0,1,1,0,1,1,0,0,0
646,yes,0,1,1,0,1,1,0,1,0
647,yes,0,1,1,0,1,1,0,0,0
648,yes,0,1,1,1,1,1,1,0,0
649,yes,0,1,1,0,1,1,0,0,0
650,yes,0,1,1,1,1,1,0,0,0
651,yes,1,1,1,0,1,1,0,0,0
652,yes,0,1,1,0,1,1,0,0,0
653,yes,0,1,1,1,1,0,0,0,0
654,yes,0,1,1,1,1,1,0,0,0
655,yes,0,1,1,1,1,1,1,0,0
656,yes,0,1,1,1,1,1,1,0,0
657,yes,0,1,1,0,1,1,0,0,0
658,yes,0,1,1,0,1,1,0,0,0
659,yes,1,1,1,1,1,0,0,0,0
660,yes,1,1,1,1,1,1,1,0,0
661,yes,1,1,1,1,1,1,1,0,0
662,yes,1,1,1,1,1,1,1,0,0
663,yes,1,1,1,1,1,1,1,0,0
664,yes,1,1,1,1,1,1,0,1,0
665,yes,0,1,1,1,1,1,0,0,0
666,yes,1,1,1,1,1,1,1,0,0
667,yes,0,1,1,0,1,1,0,0,0
668,yes,0,1,1,0,1,1,0,0,0
669,yes,0,1,1,0,1,1,0,1,0
670,yes,1,1,1,1,1,1,1,0,0
671,yes,1,1,1,1,1,1,1,0,0
672,yes,1,1,1,0,1,0,1,0,0
673,yes,1,1,1,0,1,0,0,0,0
674,yes,0,1,1,1,1,1,0,0,0
675,yes,1,1,1,0,1,0,1,0,0
676,yes,1,1,1,1,1,1,1,0,0
677,yes,1,1,1,1,1,1,1,0,0
678,yes,0,1,1,1,1,1,0,0,0
679,yes,0,1,1,1,1,1,1,0,0
680,yes,1,1,1,1,1,1,1,0,0
681,yes,0,1,1,0,1,1,0,0,0
682,yes,0,1,1,0,1,1,0,0,0
683,yes,0,1,1,0,1,1,0,1,0
684,yes,0,1,1,0,1,1,0,0,0
685,yes,0,1,1,0,1,1,0,0,0
686,yes,1,1,1,1,1,1,1,0,0
687,yes,1,1,1,0,1,0,0,0,0
688,yes,1,1,1,0,1,0,1,0,0
689,yes,0,1,1,1,1,1,0,1,0
690,yes,0,1,1,0,1,1,0,1,0
691,yes,0,1,1,0,1,0,1,1,0
692,yes,1,1,1,0,1,1,1,0,0
693,yes,0,1,1,0,1,0,0,1,0
694,yes,0,1,1,0,1,1,0,1,0
695,yes,0,1,1,0,1,1,0,0,0
696,yes,0,1,1,0,1,1,0,0,0
697,yes,0,1,1,0,1,1,1,0,0
698,yes,0,1,1,1,1,1,0,1,0
699,yes,1,1,1,0,1,1,0,0,0
700,yes,1,1,1,0,0,1,0,1,0
701,yes,0,1,1,0,1,1,0,1,0
702,yes,0,1,1,0,1,1,1,0,0
703,yes,0,1,1,1,1,1,0,0,0
704,yes,1,1,1,0,1,1,0,1,0
705,yes,1,1,1,0,1,1,0,0,0
706,yes,0,1,1,0,1,1,0,0,0
707,yes,1,1,1,1,0,0,0,0,0
708,yes,1,1,1,1,1,1,1,0,0
709,yes,0,1,1,0,1,1,0,0,0
710,yes,0,1,1,1,1,0,0,1,0
711,yes,1,1,1,0,0,0,0,0,0
712,yes,1,1,1,0,1,0,0,1,0
713,yes,1,1,1,1,1,0,0,0,0
714,yes,1,1,1,0,1,0,1,0,0
715,yes,1,1,1,1,1,0,0,1,0
716,yes,0,1,1,1,1,1,1,0,0
717,yes,1,1,1,1,1,1,1,1,0
718,yes,1,1,1,1,1,1,1,0,0
719,yes,1,1,1,1,1,0,0,0,0
720,yes,0,1,1,1,1,1,0,0,0
721,yes,0,1,1,0,1,1,0,0,0
722,yes,1,1,1,0,1,0,0,0,0
723,yes,1,1,1,1,1,1,0,0,0
724,yes,0,1,1,1,1,0,0,1,0
725,yes,0,1,1,0,1,1,0,1,0
726,yes,0,1,1,0,1,1,0,1,0
727,yes,1,1,1,1,1,0,0,0,0
728,yes,0,1,1,0,1,1,0,1,0
729,yes,1,1,1,1,1,0,0,1,0
730,yes,0,1,1,1,1,1,0,0,0
731,yes,0,1,1,1,1,1,0,0,0
732,yes,1,1,1,0,1,1,0,0,0
733,yes,1,1,1,1,1,1,0,0,0
734,yes,1,1,1,0,1,0,0,0,0
735,yes,1,1,1,1,1,1,1,0,0
736,yes,1,1,1,0,1,0,0,0,0
737,yes,1,1,1,1,1,1,0,1,0
738,yes,1,1,1,0,1,0,0,0,0
739,yes,1,1,1,0,1,0,0,0,0
740,yes,1,1,1,0,1,1,0,1,0
741,yes,0,1,1,1,1,1,0,0,0
742,yes,0,1,1,0,1,1,0,0,0
743,yes,1,1,1,1,1,1,1,0,0
744,yes,1,1,1,0,1,1,1,0,0
745,yes,0,1,1,0,1,1,0,0,0
746,yes,0,1,1,0,1,1,0,1,0
747,yes,0,1,1,0,1,1,0,1,0
748,yes,0,1,1,0,1,1,0,1,0
749,yes,1,1,1,0,0,1,1,1,0
750,yes,0,1,1,0,1,0,0,0,0
751,yes,1,1,1,1,1,0,0,0,0
752,yes,0,1,1,0,1,1,0,0,0
753,yes,0,1,1,0,1,1,0,1,0
754,yes,0,1,1,0,1,1,0,0,0
755,yes,0,1,1,0,1,1,0,0,0
756,yes,1,1,1,1,1,0,1,0,0
757,yes,0,1,1,0,1,1,0,0,0
758,yes,0,1,1,0,1,1,0,0,0
759,yes,0,1,1,0,1,1,0,0,0
760,yes,0,1,1,0,1,1,0,0,0
761,yes,0,1,1,1,1,1,0,0,0
762,yes,0,1,1,0,1,1,0,0,0
763,yes,0,1,1,0,1,1,0,1,0
764,yes,0,1,1,0,1,1,0,1,0
765,yes,0,1,1,0,1,1,0,0,0
766,yes,0,1,1,0,1,1,0,0,0
767,yes,0,1,1,0,1,1,0,0,0
768,yes,1,1,1,1,1,1,0,0,0
769,yes,1,1,1,1,0,0,0,1,0
770,yes,1,1,1,1,1,1,0,1,0
771,yes,0,1,1,0,1,1,0,1,0
772,yes,1,1,1,1,0,0,0,1,0
773,yes,0,1,1,1,1,0,0,0,0
774,yes,1,1,1,1,0,0,1,1,0
775,yes,0,1,1,0,1,1,0,0,0
776,yes,0,1,1,1,1,0,0,0,0
777,yes,0,1,1,0,1,1,1,1,0
778,yes,1,1,1,1,1,0,0,0,0
779,yes,0,1,1,0,1,1,0,0,0
780,yes,1,1,1,1,1,1,0,0,0
781,yes,1,1,1,1,1,1,1,0,0
782,yes,1,1,1,1,1,1,1,0,0
783,yes,1,1,1,0,1,1,0,1,0
784,yes,1,1,1,1,1,0,0,0,0
785,yes,0,1,1,0,1,0,0,1,0
786,yes,1,1,1,1,1,1,0,0,0
787,yes,0,1,1,0,1,1,0,0,0
788,yes,1,1,1,1,1,0,1,0,0
789,yes,0,1,1,0,1,1,0,0,0
790,yes,1,1,1,1,1,0,0,0,0
791,yes,1,1,1,1,1,0,0,1,0
792,yes,1,1,1,0,1,1,0,0,0
793,yes,0,1,1,0,1,1,0,0,0
794,yes,0,1,1,0,1,1,0,0,0
795,yes,0,1,1,1,1,0,0,0,0
796,yes,1,1,1,1,1,0,0,0,0
797,yes,0,1,1,0,1,1,0,1,0
798,yes,1,1,1,1,1,0,0,1,0
799,yes,0,1,1,0,1,1,0,1,0
800,yes,0,1,1,0,1,0,0,0,0
801,yes,0,1,1,1,1,1,0,0,0
802,yes,0,1,1,0,1,1,0,0,0
803,yes,0,1,1,0,1,1,0,0,0
804,yes,0,1,1,0,1,1,1,0,0
805,yes,1,1,1,1,1,0,0,0,0
806,yes,1,1,1,1,1,1,0,0,0
807,yes,0,1,1,0,1,1,0,0,0
808,yes,0,1,1,1,1,1,0,0,0
809,yes,1,1,1,0,1,0,0,0,0
810,yes,0,1,1,0,1,1,0,0,0
811,yes,1,1,1,0,1,0,0,1,0
812,yes,0,1,1,0,1,1,0,0,0
813,yes,1,1,1,1,1,0,1,1,0
814,yes,1,1,1,1,1,0,1,0,0
815,yes,1,1,1,1,1,1,1,0,0
816,yes,0,1,1,1,1,1,0,0,0
817,yes,1,1,1,0,1,1,0,1,0
818,yes,0,1,1,1,1,1,0,0,0
819,yes,0,1,1,0,1,0,0,1,0
820,yes,1,1,1,0,0,1,1,0,0
821,yes,0,1,1,0,1,1,0,1,0
822,yes,0,1,1,0,1,1,0,1,0
823,yes,0,1,1,0,1,1,1,0,0
824,yes,1,1,1,1,1,0,0,0,0
825,yes,1,1,1,1,0,0,1,1,0
826,yes,0,1,1,0,1,1,0,0,0
827,yes,1,1,1,1,0,0,1,0,0
828,yes,1,1,1,1,1,0,1,0,0
829,yes,0,1,1,0,1,1,0,0,0
830,yes,1,1,1,1,0,0,1,0,0
831,yes,1,1,1,1,1,0,1,0,0
832,yes,1,1,1,1,1,0,1,0,0
833,yes,1,1,1,1,1,0,1,1,0
834,yes,1,1,1,1,0,0,1,0,0
835,yes,1,1,1,1,0,0,1,0,0
836,yes,1,1,1,1,1,0,1,0,0
837,yes,0,1,1,1,1,1,0,0,0
838,yes,1,1,1,1,1,1,1,0,0
839,yes,0,1,1,0,1,1,0,0,0
840,yes,1,1,1,1,1,1,0,1,0
841,yes,1,1,1,1,1,0,0,0,0
842,yes,1,1,1,1,1,0,1,0,0
843,yes,1,1,1,1,1,0,0,1,0
844,yes,1,1,1,1,1,0,0,0,0
845,yes,1,1,1,1,1,0,0,0,0
846,yes,1,1,1,1,1,0,0,0,0
847,yes,0,1,1,0,1,1,0,0,0
848,yes,0,1,1,0,1,1,0,1,0
849,yes,1,1,1,0,1,1,0,1,0
850,yes,0,1,1,0,1,1,0,0,0
851,yes,0,1,1,0,1,1,0,0,0
852,yes,0,1,1,0,1,1,0,0,0
853,yes,0,1,1,0,1,1,0,0,0
854,yes,0,1,1,0,1,1,0,0,0
855,yes,0,1,1,0,1,1,0,0,0
856,yes,0,1,1,1,1,1,0,0,0
857,yes,0,1,1,0,1,1,0,1,0
858,yes,0,1,1,0,1,1,0,0,0
859,yes,1,1,1,0,1,1,0,1,0
860,yes,0,1,1,0,1,1,0,0,0
861,yes,1,1,1,1,1,0,1,0,0
862,yes,1,1,1,0,1,1,0,1,0
863,yes,1,1,1,0,1,1,0,0,0
864,yes,0,1,1,0,1,1,0,0,0
865,yes,0,1,1,0,1,1,0,0,0
866,yes,0,1,1,0,1,1,0,1,0
867,yes,1,1,1,1,1,0,0,0,0
868,yes,0,1,1,0,1,1,0,0,0
869,yes,0,1,1,0,1,1,0,0,0
870,yes,0,1,1,0,1,1,0,0,0
871,yes,0,1,1,0,1,0,0,0,0
872,yes,1,1,1,1,1,0,0,0,0
873,yes,1,1,1,1,1,0,0,0,0
874,yes,0,1,1,1,1,0,0,0,0
875,yes,1,1,1,1,1,0,0,0,0
876,yes,1,1,1,1,1,0,0,0,0
877,yes,1,1,1,1,1,0,0,0,0
878,yes,1,1,1,0,1,1,1,0,0
879,yes,0,1,1,0,1,1,0,0,0
880,yes,1,1,1,1,1,1,1,1,0
881,yes,1,1,1,1,1,1,1,0,0
882,yes,0,1,1,0,1,1,0,1,0
883,yes,1,1,1,0,1,0,0,0,0
884,yes,1,1,1,1,0,0,0,1,0
885,yes,0,1,1,0,1,1,0,1,0
886,yes,0,1,1,0,1,1,0,1,0
887,yes,1,1,1,1,1,0,0,0,0
888,yes,1,1,1,0,1,0,0,0,0
889,yes,1,1,1,0,1,1,1,0,0
890,yes,0,1,1,0,1,1,0,1,0
891,yes,1,1,1,0,1,0,0,0,0
892,yes,1,1,1,1,1,1,1,1,0
893,yes,1,1,1,1,0,1,0,1,0
894,yes,1,1,1,0,1,0,0,0,0
895,yes,1,1,1,1,1,0,0,0,0
896,yes,1,1,1,1,1,0,0,1,0
897,yes,0,1,1,0,1,1,0,0,0
898,yes,0,1,1,1,1,0,0,0,0
899,yes,0,1,1,0,1,1,0,0,0
900,yes,0,1,1,0,1,1,0,0,0
901,yes,0,1,1,0,1,1,0,0,0
902,yes,1,1,1,1,1,0,1,0,0
903,yes,1,1,1,1,1,0,0,0,0
904,yes,1,1,1,0,1,1,1,0,0
905,yes,0,1,1,0,1,1,0,0,0
906,yes,1,1,1,1,1,1,0,0,0
907,yes,0,1,1,0,1,1,0,0,0
908,yes,0,1,1,0,1,1,0,0,0
909,yes,1,1,1,1,1,1,1,1,0
910,yes,0,1,1,0,1,1,0,0,0
911,yes,0,1,1,0,1,1,0,0,0
912,yes,0,1,1,0,1,1,0,0,0
913,yes,1,1,1,1,1,1,1,0,0
914,yes,0,1,1,1,1,1,0,0,0
915,yes,1,1,1,0,0,1,0,1,0
916,yes,0,1,1,0,1,1,0,1,0
917,yes,0,1,1,0,1,1,0,1,0
918,yes,1,1,1,1,1,1,1,0,0
919,yes,1,1,1,1,1,1,1,0,0
920,yes,0,1,1,0,1,1,0,1,0
921,yes,1,1,1,1,1,0,1,1,0
922,yes,0,1,1,1,1,0,1,0,0
923,yes,0,1,1,0,1,1,0,0,0
924,yes,1,1,1,0,1,0,0,0,0
925,yes,1,1,1,0,0,1,1,1,0
926,yes,1,0,1,1,1,1,0,0,0
927,yes,0,1,1,0,1,1,0,0,0
928,yes,0,1,1,0,1,1,0,1,0
929,yes,1,1,1,1,1,0,0,1,0
930,yes,1,1,1,0,1,0,0,1,0
931,yes,1,1,1,1,1,0,1,1,0
932,yes,1,1,1,0,1,0,0,0,0
933,yes,0,1,1,0,1,1,0,0,0
934,yes,0,1,1,0,1,1,0,0,0
935,yes,1,1,1,0,1,1,0,1,0
936,yes,1,1,1,1,1,1,1,0,0
937,yes,1,1,1,1,1,1,1,0,0
938,yes,0,1,1,0,1,1,0,1,0
939,yes,0,1,1,0,1,1,0,0,0
940,yes,0,1,1,0,1,1,0,1,0
941,yes,1,1,1,0,1,0,0,1,0
942,yes,0,1,1,1,1,1,0,0,0
943,yes,1,1,1,1,1,0,0,0,0
944,yes,1,1,1,1,1,0,0,0,0
945,yes,0,1,1,1,1,0,0,1,0
946,yes,1,1,1,1,1,1,0,0,0
947,yes,1,1,1,0,0,0,0,0,0
948,yes,0,1,1,0,1,1,0,0,0
949,yes,1,1,1,0,1,0,0,0,0
950,yes,0,1,1,0,1,1,0,0,0
951,yes,1,1,1,1,1,1,0,0,0
952,yes,1,1,1,0,1,0,0,1,0
953,yes,0,1,1,0,1,1,0,0,0
954,yes,1,1,1,0,1,0,0,0,0
955,yes,0,1,1,1,1,0,0,0,0
956,yes,1,1,1,0,1,0,1,0,0
957,yes,1,1,1,0,1,0,0,0,0
958,yes,1,1,1,0,1,0,0,0,0
959,yes,1,1,1,0,1,0,0,0,0
960,yes,1,1,1,1,0,0,0,0,0
961,yes,1,1,1,1,1,1,1,0,0
962,yes,0,1,1,1,1,1,0,0,0
963,yes,1,1,1,1,1,1,1,0,0
964,yes,0,1,1,0,1,1,0,1,0
965,yes,1,1,1,0,1,0,0,1,0
966,yes,0,1,1,0,1,1,0,0,0
967,yes,1,1,1,1,1,0,0,0,0
968,yes,1,1,1,0,1,0,1,1,0
969,yes,1,1,1,1,1,0,0,0,0
970,yes,1,1,1,0,1,1,0,1,0
971,yes,1,1,1,0,1,1,0,1,0
972,yes,1,1,1,0,1,0,0,1,0
973,yes,1,1,1,1,1,0,1,0,0
974,yes,1,1,1,0,1,0,1,0,0
975,yes,0,1,1,0,1,0,0,0,0
976,yes,0,1,1,1,1,1,0,1,0
977,yes,0,1,1,1,1,1,0,1,0
978,yes,1,1,1,1,1,1,0,0,0
979,yes,1,1,1,0,1,1,0,0,0
980,yes,1,1,1,0,1,0,0,1,0
981,yes,1,1,1,1,1,0,0,0,0
982,yes,1,1,1,1,1,0,0,0,0
983,yes,1,1,1,1,1,0,0,0,0
984,yes,1,1,1,1,1,0,0,0,0
985,yes,0,1,1,0,1,1,0,0,0
986,yes,1,1,1,1,1,1,0,0,0
987,yes,0,1,1,0,1,1,0,1,0
988,yes,0,1,1,1,1,1,0,0,0
989,yes,0,1,1,0,1,1,0,1,0
990,yes,0,1,1,0,1,1,0,1,0
991,yes,1,1,1,1,1,1,1,0,0
992,yes,1,1,1,1,1,1,0,0,0
993,yes,1,1,1,1,1,1,1,1,0
994,yes,1,1,1,1,1,1,0,0,0
995,yes,1,1,1,1,1,1,0,0,0
996,yes,1,1,1,1,1,1,0,0,0
997,yes,1,1,1,0,1,0,0,0,0
998,yes,1,1,1,0,1,1,0,0,0
999,yes,1,1,1,1,1,0,0,1,0
1000,yes,0,1,1,1,1,1,0,0,0
1001,yes,1,1,1,1,1,1,1,0,0
1002,yes,0,1,1,0,1,1,0,1,0
1003,yes,1,1,1,0,1,0,0,1,0
1004,yes,0,1,1,0,1,1,0,0,0
1005,yes,1,1,1,0,1,0,0,0,0
1006,yes,0,1,1,0,1,1,1,0,0
1007,yes,0,1,1,1,1,1,0,0,0
1008,yes,1,1,1,0,1,0,0,1,0
1009,yes,1,1,1,0,1,0,0,1,0
1010,yes,1,1,1,1,1,0,0,1,0
1011,yes,0,1,1,0,1,1,0,0,0
1012,yes,1,1,1,1,1,1,1,1,0
1013,yes,1,1,1,0,1,1,0,0,0
1014,yes,0,1,1,1,1,1,0,0,0
1015,yes,1,1,1,1,1,1,0,0,0
1016,yes,1,1,1,0,1,1,0,0,0
1017,yes,0,1,1,0,1,1,1,0,0
1018,yes,0,1,1,0,1,1,0,0,0
1019,yes,0,1,1,0,1,1,0,0,0
1020,yes,1,1,1,1,1,0,0,0,0
1021,yes,1,1,1,1,1,0,1,0,0
1022,yes,1,1,1,1,1,0,1,0,0
1023,yes,1,1,1,0,1,1,1,0,0
1024,yes,0,1,1,1,1,1,0,0,0
1025,yes,0,1,1,0,1,1,1,1,0
1026,yes,0,1,1,1,1,1,0,0,0
1027,yes,0,1,1,0,1,1,0,0,0
1028,yes,1,1,1,1,1,0,1,0,0
1029,yes,0,1,1,0,1,1,1,0,0
1030,yes,1,1,1,0,1,1,1,0,0
1031,yes,0,1,1,0,1,1,0,1,0
1032,yes,0,1,1,1,1,1,0,0,0
1033,yes,1,1,1,1,0,1,1,1,0
1034,yes,1,1,1,1,1,1,1,0,0
1035,yes,1,1,1,0,1,0,0,0,0
1036,yes,0,1,1,1,1,1,1,0,0
1037,yes,1,1,1,0,1,1,1,0,0
1038,yes,1,1,1,1,1,0,0,1,0
1039,yes,0,1,1,0,1,1,0,0,0
1040,yes,1,1,1,0,1,0,0,0,0
1041,yes,0,1,1,0,1,1,0,0,0
1042,yes,0,1,1,0,1,1,0,0,0
1043,yes,1,1,1,0,1,0,0,0,0
1044,yes,0,1,1,0,1,1,0,0,0
1045,yes,1,1,1,0,1,0,0,1,0
1046,yes,1,1,1,1,1,0,0,1,0
1047,yes,1,1,1,1,1,1,0,1,0
1048,yes,0,1,1,0,1,1,0,0,0
1049,yes,1,1,1,0,1,1,0,0,0
1050,yes,1,1,1,0,0,1,0,0,0
1051,yes,1,1,1,0,1,0,0,0,0
1052,yes,1,1,1,1,1,1,0,0,0
1053,yes,1,1,1,1,1,1,0,0,0
1054,yes,1,1,1,0,1,1,1,0,0
1055,yes,0,1,1,1,1,1,0,0,0
1056,yes,1,1,1,1,1,0,1,0,0
1057,yes,0,1,1,0,1,0,0,1,0
1058,yes,1,1,1,0,1,1,0,0,0
1059,yes,0,1,1,0,1,1,0,0,0
1060,yes,0,1,1,1,1,1,0,1,0
1061,yes,0,0,1,0,1,1,0,1,0
1062,yes,1,1,1,0,0,0,0,1,0
1063,yes,0,1,1,0,1,1,0,1,0
1064,yes,0,1,1,0,1,1,1,1,0
1065,yes,1,1,1,1,1,1,0,0,0
1066,yes,0,1,1,0,1,1,0,1,0
1067,yes,0,1,1,0,1,1,0,1,0
1068,yes,1,1,1,0,1,0,0,1,0
1069,yes,0,1,1,0,1,1,0,0,0
1070,yes,1,1,1,0,1,0,0,0,0
1071,yes,1,1,1,0,1,0,0,1,0
1072,yes,0,1,1,0,1,1,0,1,0
1073,yes,0,1,1,0,1,1,0,1,0
1074,yes,0,1,1,0,1,1,0,1,0
1075,yes,0,1,1,0,1,1,0,0,0
1076,yes,0,1,1,0,1,1,0,0,0
1077,yes,1,1,1,0,0,0,0,0,0
1078,yes,0,1,1,1,1,1,0,0,0
1079,yes,0,1,1,0,1,1,0,0,0
1080,yes,0,1,1,0,1,1,0,0,0
1081,yes,0,1,1,0,1,1,0,0,0
1082,yes,1,1,1,1,1,0,0,0,0
1083,yes,0,1,1,1,1,1,0,0,0
1084,yes,1,1,1,1,1,1,1,1,0
1085,yes,1,1,1,1,1,1,1,1,0
1086,yes,1,1,1,1,1,0,0,0,0
1087,yes,0,1,1,1,1,1,1,0,0
1088,yes,0,1,1,1,1,1,0,0,0
1089,yes,0,1,1,0,1,1,0,0,0
1090,yes,1,1,1,1,1,1,1,0,0
1091,yes,1,1,1,0,1,1,0,0,0
1092,yes,1,1,1,1,1,1,0,0,0
1093,yes,1,1,1,1,1,1,1,0,0
1094,yes,0,1,1,0,1,1,0,0,0
1095,yes,0,1,1,0,1,1,0,1,0
1096,yes,0,1,1,0,1,1,0,0,0
1097,yes,1,1,1,1,0,0,1,1,0
1098,yes,0,1,1,1,1,1,0,0,0
1099,yes,1,1,1,1,1,0,0,0,0
1100,yes,0,1,1,0,1,1,0,0,0
1101,yes,1,1,1,1,1,1,0,0,0
1102,yes,0,1,1,1,1,1,0,0,0
1103,yes,0,1,1,0,1,1,0,1,0
1104,yes,1,1,1,1,1,1,1,0,0
1105,yes,1,1,1,1,1,1,1,0,0
1106,yes,1,1,1,1,1,0,1,1,0
1107,yes,0,1,1,0,1,1,0,0,0
1108,yes,1,1,1,1,1,0,1,1,0
1109,yes,1,1,1,1,1,0,1,0,0
1110,yes,1,1,1,1,1,1,1,0,0
1111,yes,0,1,1,0,1,1,0,0,0
1112,yes,0,1,1,0,1,0,0,1,0
1113,yes,1,1,1,1,1,0,1,0,0
1114,yes,1,1,1,1,1,0,1,0,0
1115,yes,1,1,1,0,0,0,1,0,0
1116,yes,1,1,1,1,0,1,1,1,0
1117,yes,1,1,1,1,1,0,0,1,0
1118,yes,0,1,1,1,1,0,0,1,0
1119,yes,1,1,1,1,1,0,0,0,0
1120,yes,1,1,1,0,1,0,1,0,0
1121,yes,0,1,1,0,1,0,0,0,0
1122,yes,1,1,1,1,1,1,0,0,0
1123,yes,1,1,1,0,1,0,1,0,0
1124,yes,0,1,1,1,1,1,0,0,0
1125,yes,0,1,1,1,1,1,0,0,0
1126,yes,0,1,1,0,1,1,0,0,0
1127,yes,1,1,1,1,1,0,0,1,0
1128,yes,1,1,1,1,1,0,0,0,0
1129,yes,1,1,1,0,1,0,1,0,0
1130,yes,1,1,1,1,1,0,0,0,0
1131,yes,0,1,1,1,1,1,0,0,0
1132,yes,0,1,1,0,1,0,0,0,0
1133,yes,1,1,1,0,1,0,0,0,0
1134,yes,0,1,1,1,1,0,0,0,0
1135,yes,1,1,1,0,1,0,0,0,0
1136,yes,0,1,1,0,1,0,0,0,0
1137,yes,0,1,1,0,1,1,0,0,0
1138,yes,0,1,1,0,1,1,0,0,0
1139,yes,1,1,1,1,1,1,0,0,0
1140,yes,1,1,1,1,1,0,0,0,0
1141,yes,1,1,1,1,1,1,1,0,0
1142,yes,0,1,1,1,1,1,0,0,0
1143,yes,0,1,1,0,1,1,0,0,0
1144,yes,1,1,1,1,1,0,0,0,0
1145,yes,0,1,1,0,1,1,0,1,0
1146,yes,1,1,1,1,1,1,1,0,0
1147,yes,1,1,1,1,0,1,0,0,0
1148,yes,1,1,1,1,1,1,0,0,0
1149,yes,1,1,1,0,1,0,0,0,0
1150,yes,1,1,1,0,1,0,0,0,0
1151,yes,1,1,1,1,1,1,0,0,0
1152,yes,0,1,1,0,1,0,1,0,0
1153,yes,1,1,1,0,1,1,0,0,0
1154,yes,1,1,1,0,1,1,0,0,0
1155,yes,0,1,1,0,1,1,0,0,0
1156,yes,0,1,1,0,1,1,1,0,0
1157,yes,0,1,1,0,1,1,0,0,0
1158,yes,1,1,1,1,1,0,0,1,0
1159,yes,0,1,1,0,1,1,0,0,0
1160,yes,1,1,1,0,1,1,1,0,0
1161,yes,1,1,1,0,0,1,1,0,0
1162,yes,1,1,1,0,1,0,1,0,0
1163,yes,1,1,1,0,1,0,1,0,0
1164,yes,0,1,1,0,1,0,0,0,0
1165,yes,1,1,1,0,1,1,1,0,0
1166,yes,0,1,1,0,1,1,0,0,0
1167,yes,1,1,1,0,1,1,1,0,0
1168,yes,1,1,1,1,1,1,0,0,0
1169,yes,1,1,1,0,1,1,0,1,0
1170,yes,1,1,1,1,0,0,0,0,0
1171,yes,0,1,1,0,1,1,0,0,0
1172,yes,1,1,1,0,0,0,1,0,0
1173,yes,1,1,1,1,1,0,0,0,0
1174,yes,1,1,1,0,1,0,1,0,0
1175,yes,1,1,1,0,0,1,0,1,0
1176,yes,1,1,1,0,1,0,0,1,0
1177,yes,1,1,1,0,1,1,0,1,0
1178,yes,1,1,1,0,1,1,1,0,0
1179,yes,1,1,1,0,1,1,1,0,0
1180,yes,1,1,1,0,1,1,1,0,0
1181,yes,1,1,1,0,1,1,0,0,0
1182,yes,1,1,1,0,1,1,0,0,0
1183,yes,1,1,1,0,1,0,0,0,0
1184,yes,1,1,1,0,0,0,1,0,0
1185,yes,1,1,1,0,1,1,0,0,0
1186,yes,1,1,1,1,1,0,0,0,0
1187,yes,0,1,1,0,1,1,0,0,0
1188,yes,1,1,1,1,1,0,1,0,0
1189,yes,1,1,1,0,0,0,1,1,0
1190,yes,1,1,1,0,1,0,0,0,0
1191,yes,1,1,1,1,1,1,0,0,0
1192,yes,1,1,1,0,1,1,0,0,0
